,CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,RH_pred,AH_pred,Time
18,1.6,1236.0,5.216918999884966,774.25,104.0,1301.25,95.0,1401.25,664.0,9.5249998569489,66.774998664856,0.7950537885142038,63.415043,0.7458036,2004-03-11 12:00:00
19,1.9,1285.5,7.26993335753569,868.5,146.0,1162.25,112.0,1536.75,799.0,8.299999833107,76.425001144409,0.8392680677502771,74.814445,0.83495027,2004-03-11 13:00:00
20,2.9,1371.0,11.539007213563714,1033.5,207.0,983.25,128.0,1730.25,1036.5,8.0,81.14999961853,0.8735885336185425,78.896675,0.8800975,2004-03-11 14:00:00
21,2.2,1310.0,8.826222726457212,932.5,184.0,1081.75,126.0,1646.5,946.25,8.325000166893,79.799999237061,0.8777844450980445,79.47926,0.9130974,2004-03-11 15:00:00
22,2.2,1291.75,8.301413416761816,911.5,193.0,1102.5,131.0,1590.75,956.75,9.7000000476837,71.150001525879,0.8569381279436317,71.95228,0.86503637,2004-03-11 16:00:00
23,2.9,1383.0,11.151581216129403,1019.75,243.0,1008.0,135.0,1718.75,1104.0,9.7750000953674,67.624998092651,0.8185012074753434,71.891495,0.8712628,2004-03-11 17:00:00
24,4.8,1580.75,20.799216861460543,1318.5,281.0,798.5,151.0,2083.0,1408.5,10.349999904633,64.174999237061,0.806543633173666,67.44565,0.9109015,2004-03-11 18:00:00
25,6.9,1775.5,27.359807493586764,1487.75,383.0,702.25,172.0,2332.5,1704.0,9.6500000953674,69.300001144409,0.8319211444100879,71.04854,0.99263704,2004-03-11 19:00:00
26,6.1,1640.0,24.017756935949226,1404.0,351.0,742.75,165.0,2191.25,1653.75,9.6499998569489,67.75,0.8133139353625914,69.6686,0.90592164,2004-03-11 20:00:00
27,3.9,1312.75,12.779368248758171,1076.25,240.0,957.25,136.0,1706.5,1284.75,9.125,63.974999427795,0.7419242244892506,63.163784,0.7651833,2004-03-11 21:00:00
28,1.5,964.5,4.707071919244755,748.5,94.0,1325.25,85.0,1332.5,821.0,8.1750001907349,63.39999961853,0.6904844466414399,60.788097,0.65396243,2004-03-11 22:00:00
29,1.0,912.75,2.6457215096105893,629.25,47.0,1564.5,53.0,1252.25,551.75,8.2499998807907,60.824998855591,0.6657443604063102,61.777912,0.6424969,2004-03-11 23:00:00
30,1.7,1080.25,5.85480151426304,805.0,122.0,1253.5,97.0,1375.0,815.5,8.3250002861023,58.525000572205,0.6437636096330573,62.32515,0.675689,2004-03-12 00:00:00
31,1.9,1043.75,6.37429750967153,829.0,133.0,1247.25,110.0,1378.25,831.5,7.7250001430511,59.674999237061,0.6307660602738635,60.124584,0.61433965,2004-03-12 01:00:00
32,1.4,987.75,4.132341795103469,718.0,82.0,1395.5,91.0,1303.5,691.5,7.125,61.799999237061,0.6275973687868803,66.172874,0.6308667,2004-03-12 02:00:00
33,0.8,888.75,1.8694446351370275,574.25,82.0,1680.25,91.0,1187.0,512.0,6.9750000238419,62.27499961853,0.6261075278097894,67.39689,0.6578029,2004-03-12 03:00:00
34,0.8,831.0,1.0682926116418547,505.75,21.0,1892.75,32.0,1133.75,384.0,6.1000000238419,65.900001525879,0.6247536319724682,66.014084,0.63892263,2004-03-12 04:00:00
35,0.6,847.25,1.0224145989759525,501.25,30.0,1894.5,44.0,1154.75,394.0,6.2749999761581,64.97500038147,0.6232823211022999,67.437614,0.64641154,2004-03-12 05:00:00
36,0.8,927.0,1.8304312258349797,571.25,56.0,1684.75,71.0,1222.75,486.5,6.75,62.949999809265,0.6234275392144519,68.85888,0.64322823,2004-03-12 06:00:00
37,1.4,1090.5,4.359340996864498,730.25,109.0,1387.0,104.0,1360.75,748.25,6.4499999284744,65.075001716614,0.6316281144389537,73.54375,0.7235842,2004-03-12 07:00:00
38,4.4,1587.0,17.865586704833834,1235.5,307.0,896.5,141.0,1900.25,1400.25,7.3250000476837,63.14999961853,0.6499331393073879,69.23257,0.75338966,2004-03-12 08:00:00
39,4.4,1544.5,22.074162063223632,1353.0,307.0,767.25,141.0,2058.0,1587.75,9.2250000238419,56.199998855591,0.6560651189171942,60.374165,0.7620572,2004-03-12 09:00:00
40,3.1,1350.25,14.02701136675159,1117.5,187.0,912.0,122.0,1711.75,1237.0,13.224999904633,41.749999046326,0.6319501309937225,43.71511,0.71233976,2004-03-12 10:00:00
41,2.7,1262.75,11.645646559704057,1037.25,216.0,969.0,143.0,1598.25,1166.5,14.325000047684,38.449999809265,0.6243042942153901,38.174606,0.6841799,2004-03-12 11:00:00
42,2.1,1206.25,10.224662143952827,986.0,143.0,1034.5,113.0,1537.0,959.0,15.025000095367,36.5,0.6195323226057363,36.27627,0.67119855,2004-03-12 12:00:00
43,2.5,1251.5,11.039936039300839,1015.75,160.0,1007.5,116.0,1592.75,983.0,16.100000143051,34.474999427795,0.6261647401566796,35.66725,0.6910809,2004-03-12 13:00:00
44,2.7,1287.0,12.816446196415624,1077.5,163.0,948.75,123.0,1660.25,1060.75,16.275000572205,35.72500038147,0.6560306119627572,36.210438,0.7223555,2004-03-12 14:00:00
45,2.9,1352.75,14.173851177910128,1122.25,190.0,921.75,126.0,1740.0,1139.25,15.825000047684,37.02499961853,0.6609611395034868,38.79222,0.7500223,2004-03-12 15:00:00
46,2.8,1309.0,12.690568103372724,1073.25,178.0,954.0,120.0,1657.25,1112.25,15.874999761581,37.175000190735,0.6657285250911997,36.429375,0.6882365,2004-03-12 16:00:00
47,2.4,1274.0,11.738405416264687,1040.5,150.0,1005.75,119.0,1609.75,993.75,16.875000238419,34.349999427795,0.6549085143270723,33.65984,0.708437,2004-03-12 17:00:00
48,3.9,1509.5,19.290974886272963,1276.5,206.0,812.25,149.0,1909.75,1409.5,15.149999856949,39.550000190735,0.6766265078085045,41.758442,0.7946822,2004-03-12 18:00:00
49,3.7,1525.25,18.226178291697384,1246.0,202.0,821.0,145.0,1846.75,1447.75,14.399999856949,43.425000190735,0.7084497598177374,42.613094,0.7604855,2004-03-12 19:00:00
50,6.6,1843.0,32.55627834707047,1609.75,340.0,624.0,170.0,2390.25,1886.5,12.875,50.525000572205,0.7478032188508966,49.079197,0.8504476,2004-03-12 20:00:00
51,4.4,1597.75,20.092943564494178,1299.0,274.0,752.0,149.0,1940.5,1626.75,12.149999856949,53.349999427795,0.7536202227825304,51.539722,0.7660132,2004-03-12 21:00:00
52,3.5,1483.5,14.321342422629458,1127.0,253.0,839.0,139.0,1723.0,1491.0,10.975000143051,59.125000953674,0.7739800033862854,56.373913,0.7547916,2004-03-12 22:00:00
53,5.4,1677.25,21.81286506943192,1346.0,300.0,740.5,134.0,2062.0,1657.0,9.6749999523163,64.624999046326,0.7770739425473616,63.09041,0.85565984,2004-03-12 23:00:00
54,2.7,1279.5,9.638999814518419,964.0,193.0,962.5,113.0,1543.5,1285.25,9.4500002861023,64.125,0.7597465282359432,60.079353,0.73481274,2004-03-13 00:00:00
55,1.9,1196.25,7.375139467546298,873.0,139.0,1071.25,97.0,1463.25,1144.25,9.1499998569489,63.900001525879,0.7422764129225364,61.99116,0.74948305,2004-03-13 01:00:00
56,1.6,1183.75,5.369604169687442,781.75,83.0,1176.25,82.0,1364.5,1042.75,8.7999999523163,63.924998283386,0.7256153712649386,60.791164,0.7359264,2004-03-13 02:00:00
57,1.7,1171.75,5.390103939543701,782.75,83.0,1178.5,82.0,1379.75,995.5,7.8000000715256,67.52499961853,0.7173121148941005,63.959965,0.7485595,2004-03-13 03:00:00
58,1.7,1147.0,6.199041963295953,821.0,109.0,1132.25,83.0,1411.75,991.5,7.0,71.075000762939,0.7157784693036635,65.99883,0.746152,2004-03-13 04:00:00
59,1.0,978.25,2.577932199377853,624.75,62.0,1420.25,65.0,1274.25,819.25,8.2999999523163,63.574999809265,0.6981546204756909,64.3513,0.6860508,2004-03-13 05:00:00
60,1.2,1099.5,2.908548009422834,646.25,53.0,1406.25,60.0,1267.5,835.0,7.2000000476837,67.47500038147,0.6886721470838881,63.099167,0.7160084,2004-03-13 06:00:00
61,1.5,1112.25,5.136255828724421,770.25,139.0,1228.0,77.0,1408.5,939.75,6.3499999046326,71.89999961853,0.6931985587343715,71.14726,0.736483,2004-03-13 07:00:00
62,2.7,1335.5,11.817138600992351,1043.25,256.0,935.25,96.0,1678.0,1191.75,6.450000166893,71.550001144409,0.6944754797176015,76.08421,0.755569,2004-03-13 08:00:00
63,3.7,1408.3333333333,15.140161198407567,1153.0,295.0,830.33333333333,119.0,1776.6666666667,1411.0,9.5666666030884,59.666667938232,0.7123665611992754,61.621372,0.73933214,2004-03-13 09:00:00
64,3.2,1447.0,12.913063095907157,1080.75,250.0,868.5,126.0,1666.75,1465.0,12.375,51.175000190735,0.7334583850640767,53.120464,0.7736754,2004-03-13 10:00:00
65,4.1,1541.5,16.133508844949027,1183.75,296.0,808.25,158.0,1779.75,1582.5,15.649999856949,42.199999809265,0.7450937577774329,40.382576,0.76194286,2004-03-13 11:00:00
66,3.6,1451.25,14.019301019815009,1117.25,239.0,875.25,161.0,1679.25,1387.25,18.400000095367,33.824999809265,0.708963570176462,32.84089,0.75075686,2004-03-13 12:00:00
67,2.8,1328.25,12.279664077200536,1059.25,153.0,986.5,124.0,1599.5,1100.5,19.35000038147,31.275000095367,0.6950081047527402,27.528645,0.68867826,2004-03-13 13:00:00
68,2.0,1206.5,8.618412576532277,924.25,118.0,1087.75,102.0,1488.25,849.75,18.02499961853,34.800000190735,0.7126738741944919,30.585909,0.690902,2004-03-13 14:00:00
69,2.0,1239.5,9.196566740238417,947.0,119.0,1049.0,116.0,1531.75,947.0,18.375,33.64999961853,0.704207020809635,32.278664,0.7577872,2004-03-13 15:00:00
70,2.5,1306.0,10.244887084344466,986.75,138.0,1004.0,124.0,1554.0,1078.0,17.625,35.10000038147,0.7012032509364389,33.522327,0.7334581,2004-03-13 16:00:00
71,2.3,1326.0,10.611844460473737,1000.25,148.0,975.5,125.0,1601.5,1083.75,16.675000190735,37.799999237061,0.7117364038435915,38.592213,0.78216845,2004-03-13 17:00:00
72,3.2,1472.75,15.452209964915284,1162.75,227.0,830.5,148.0,1779.0,1394.75,16.099999904633,41.02499961853,0.7451314943585404,41.433414,0.80468005,2004-03-13 18:00:00
73,4.2,1609.0,19.636784663917272,1286.25,277.0,757.5,165.0,1922.0,1611.5,15.825000047684,42.400000572205,0.7569143276676089,42.713295,0.8126171,2004-03-13 19:00:00
74,4.2,1610.75,19.202727916183612,1274.0,279.0,754.25,161.0,1915.0,1697.25,15.650000095367,44.10000038147,0.7786406550707863,44.07068,0.82502806,2004-03-13 20:00:00
75,4.2,1620.5,18.269310357149713,1247.25,283.0,762.0,159.0,1860.0,1885.5,15.325000047684,46.775000572205,0.8091244285768237,45.80379,0.839265,2004-03-13 21:00:00
76,3.1,1444.25,13.14470430189378,1088.5,214.0,844.0,143.0,1747.5,1623.75,14.649999856949,48.625,0.8059694141072296,55.697517,0.92605525,2004-03-13 22:00:00
77,2.6,1418.0,10.873367154415865,1009.75,172.0,892.0,130.0,1603.0,1536.25,14.700000286102,49.275000572205,0.8193361244198358,51.136944,0.86349595,2004-03-13 23:00:00
78,2.9,1533.5,10.963457959141822,1013.0,190.0,888.5,129.0,1610.75,1534.75,13.949999809265,53.60000038147,0.8497717204331877,52.53768,0.9003704,2004-03-14 00:00:00
79,2.8,1483.5,11.86017851848332,1044.75,174.0,879.75,119.0,1624.25,1529.75,14.649999856949,51.5,0.8536231326791223,48.10735,0.8623114,2004-03-14 01:00:00
80,2.5,1366.75,8.624678823055866,924.5,128.0,952.5,104.0,1543.0,1337.0,12.549999952316,58.900000572205,0.8537400738793904,57.833576,0.8443196,2004-03-14 02:00:00
81,2.4,1344.0,9.737786456670193,967.75,128.0,920.5,104.0,1619.75,1278.25,11.649999856949,63.425000190735,0.8674492315744939,63.312553,0.90694433,2004-03-14 03:00:00
82,2.4,1129.5,5.191654203204007,773.0,70.0,1130.25,82.0,1451.75,1050.5,12.099999904633,61.100001335144,0.8603162131672637,61.73799,0.8701464,2004-03-14 04:00:00
83,1.2,1062.0,3.650423146324865,691.0,53.0,1271.5,70.0,1376.75,929.0,11.475000143051,63.10000038147,0.8532753834381319,60.296032,0.8107183,2004-03-14 05:00:00
84,1.0,1075.75,2.4813419346402656,618.25,44.0,1395.25,63.0,1333.0,872.25,11.599999904633,62.150000572205,0.8472636259100265,58.35071,0.8008994,2004-03-14 06:00:00
85,0.9,1028.25,2.4299844022774177,614.75,74.0,1383.5,67.0,1340.0,853.0,10.399999856949,67.649998664856,0.8529987302926639,63.74797,0.83051795,2004-03-14 07:00:00
86,1.4,1154.5,4.210510136054915,722.25,101.0,1224.75,84.0,1413.75,959.25,11.574999809265,62.674999237061,0.8530382230087753,60.557327,0.8582036,2004-03-14 08:00:00
87,1.6,1235.25,6.352276711074662,828.0,118.0,1055.25,83.0,1527.0,1093.25,12.424999952316,60.0,0.8627151273296463,61.607635,0.9224506,2004-03-14 09:00:00
88,2.2,1331.5,8.587110474608117,923.0,144.0,951.75,98.0,1613.75,1225.0,14.525000095367,53.074999809265,0.8727816223552813,57.125175,0.94117284,2004-03-14 10:00:00
89,2.8,1444.75,10.859535166937011,1009.25,176.0,878.25,114.0,1696.0,1355.25,16.875000476837,46.099999427795,0.8789310942666374,49.029083,0.9383668,2004-03-14 11:00:00
90,2.8,1415.5,10.659815662688954,1002.0,161.0,906.75,119.0,1676.5,1261.5,19.300000190735,38.25,0.8474048021414429,40.992607,0.9456825,2004-03-14 12:00:00
91,2.0,1281.25,7.540072456167103,880.0,113.0,1083.75,104.0,1525.0,980.0,21.174999713898,31.449999809265,0.7811957165002227,31.448078,0.8435269,2004-03-14 13:00:00
92,1.8,1207.25,7.5045987950378565,878.5,103.0,1103.5,102.0,1489.5,872.25,21.424999713898,30.199999809265,0.7615918767626616,28.4411,0.789927,2004-03-14 14:00:00
93,1.9,1257.75,8.160112924625768,905.75,112.0,1081.25,107.0,1511.0,900.25,21.925000190735,28.950000286102,0.7524589545694458,27.707273,0.7848978,2004-03-14 15:00:00
94,3.0,1457.75,11.867358322901142,1045.0,170.0,973.75,129.0,1646.0,1098.5,22.224999904633,28.39999961853,0.7516273241188697,28.655123,0.7934003,2004-03-14 16:00:00
95,2.9,1437.75,12.033004745084428,1050.75,180.0,942.5,128.0,1667.5,1206.25,21.299999713898,30.75,0.7696154919144513,30.759666,0.81244355,2004-03-14 17:00:00
96,2.5,1477.75,12.163323306748472,1055.25,160.0,929.25,121.0,1670.75,1262.25,19.650000095367,36.699999809265,0.8307061318496992,34.301933,0.84045845,2004-03-14 18:00:00
97,4.6,1807.5,20.57171487732563,1312.25,261.0,753.25,157.0,1992.75,1697.75,18.374999523163,41.72500038147,0.8731957705577488,42.40617,0.9053556,2004-03-14 19:00:00
98,5.9,1898.0,23.142125805295404,1381.25,325.0,680.5,173.0,2102.75,1904.75,17.625,46.099999427795,0.9209535360575977,46.385883,0.9683776,2004-03-14 20:00:00
99,3.4,1559.5,14.720453409836011,1139.75,217.0,783.75,146.0,1817.5,1648.0,16.650000095367,49.575000762939,0.9319900473249648,51.009502,0.96394885,2004-03-14 21:00:00
100,2.1,1324.25,9.004199247323303,939.5,146.0,923.5,121.0,1587.0,1422.75,16.25,50.950000762939,0.9341472131622557,51.233467,0.92770416,2004-03-14 22:00:00
101,2.2,1348.75,8.83888507899354,933.0,152.0,933.0,119.0,1616.5,1348.75,14.725000143051,55.925000190735,0.9313856224921276,57.679745,0.96788275,2004-03-14 23:00:00
102,1.8,1238.75,7.3575603748787675,872.25,104.0,985.0,99.0,1546.5,1250.25,14.825000047684,54.675001144409,0.9163543254683045,54.825474,0.96240336,2004-03-15 00:00:00
103,1.8,1239.0,6.918207216219388,853.25,106.0,1010.25,93.0,1543.25,1173.75,14.049999952316,57.0,0.9094489367663466,58.38387,0.9630981,2004-03-15 01:00:00
104,1.8,1223.75,6.958191195775006,855.0,108.0,998.25,88.0,1565.75,1148.75,13.350000143051,61.349999427795,0.936085703142246,62.83793,0.9974986,2004-03-15 02:00:00
105,1.1,1078.25,4.429862930483551,734.0,108.0,1128.25,88.0,1486.75,1020.5,12.599999904633,63.474999427795,0.9230174218998716,67.14758,1.0204288,2004-03-15 03:00:00
106,1.1,1077.5,3.9959242929204266,710.5,66.0,1150.0,71.0,1467.5,1012.75,12.349999904633,65.35000038147,0.9351122865764487,67.72694,1.0184544,2004-03-15 04:00:00
107,1.0,1074.5,3.8659143375749494,703.25,88.0,1155.75,74.0,1463.75,1010.0,11.899999856949,67.449998855591,0.9375381769341324,68.621025,1.0074589,2004-03-15 05:00:00
108,1.4,1156.75,6.3853200900791585,829.5,138.0,1029.5,80.0,1584.0,1083.0,11.375,70.52499961853,0.9475162243381903,69.95202,1.0127277,2004-03-15 06:00:00
109,2.2,1314.0,9.685046806517573,965.75,228.0,896.75,89.0,1710.25,1234.75,11.324999809265,70.200000762939,0.940095096018487,67.72402,0.9993244,2004-03-15 07:00:00
110,5.5,1796.75,25.870457660998934,1451.0,360.0,652.0,114.0,2323.0,1679.5,12.400000095367,63.875000953674,0.9169546941482681,65.02682,0.9764902,2004-03-15 08:00:00
111,8.1,1961.25,36.69206253067248,1701.0,478.0,536.75,149.0,2665.25,2184.25,14.774999856949,54.324999809265,0.9076095360418625,53.539112,0.98825324,2004-03-15 09:00:00
112,5.8,1770.5,26.6360247644022,1470.0,394.0,621.5,157.0,2261.5,1973.0,17.400000095367,45.64999961853,0.8992981706467373,44.484337,0.94242,2004-03-15 10:00:00
113,4.2,1563.5,20.11092309343549,1299.5,319.0,709.75,155.0,2029.0,1798.25,19.800000190735,38.525000572205,0.880059991386787,41.185375,0.9817049,2004-03-15 11:00:00
114,3.1,1430.0,14.096485799877708,1119.75,201.0,830.5,134.0,1783.25,1522.0,22.025000095367,34.050000190735,0.8903685188126028,35.28989,0.940659,2004-03-15 12:00:00
115,2.9,1417.25,14.9257192296359,1146.25,171.0,829.5,119.0,1830.5,1404.0,23.324999809265,32.174999237061,0.9095992195673936,33.173286,0.9762104,2004-03-15 13:00:00
116,2.9,1400.25,15.436141471547911,1162.25,159.0,838.25,111.0,1828.5,1263.25,23.875,29.97500038147,0.8756585288124981,29.924002,0.9480371,2004-03-15 14:00:00
117,2.5,1317.25,12.09085021877653,1052.75,153.0,926.0,104.0,1706.75,1137.0,24.449999809265,28.900000095367,0.873591912397843,26.982819,0.9034751,2004-03-15 15:00:00
118,2.3,1317.75,11.524820242423965,1033.0,143.0,949.75,99.0,1675.0,1068.0,24.375,29.39999961853,0.8847617117200978,25.994452,0.86841035,2004-03-15 16:00:00
119,2.8,1445.25,14.759833471701361,1141.0,156.0,856.5,110.0,1823.5,1251.5,23.849999904633,31.325000762939,0.913735211108514,30.762564,0.966553,2004-03-15 17:00:00
120,6.1,1917.0,32.14884367945396,1600.5,314.0,631.25,162.0,2447.0,1843.25,22.549999237061,35.375000953674,0.9546998207473483,38.232002,1.0523578,2004-03-15 18:00:00
121,8.0,2039.75,39.20233967931091,1754.25,404.0,542.25,187.0,2679.0,2122.25,20.425000667572,42.5,1.0086313341074233,40.46324,1.1066737,2004-03-15 19:00:00
122,6.5,1894.75,30.961305060452627,1573.25,320.0,565.0,165.0,2442.75,1991.5,18.275000095367,52.625000953674,1.0945180933132785,48.318462,1.1412952,2004-03-15 20:00:00
123,4.2,1594.5,19.895621463254436,1293.5,256.0,678.25,145.0,2057.5,1707.0,16.650000095367,57.375,1.0786268914239705,54.584385,1.0884167,2004-03-15 21:00:00
124,3.2,1438.5,15.31585504960172,1158.5,193.0,764.25,125.0,1856.25,1494.25,15.699999809265,60.150000572205,1.0653715549625937,53.80458,0.9909995,2004-03-15 22:00:00
125,1.4,1141.5,6.895403347240391,852.25,89.0,1008.25,101.0,1547.25,1164.25,15.250000238419,61.449998855591,1.0579554990778919,56.658466,1.0266206,2004-03-15 23:00:00
126,2.1,1303.6666666667,11.139929168771717,1019.3333333333,127.0,852.33333333333,103.0,1731.3333333333,1271.6666666667,14.066666603088,65.699999491374,1.049372403097042,62.978474,1.0544733,2004-03-16 00:00:00
127,1.2,1074.25,5.40550061636386,783.5,79.0,1097.75,88.0,1483.0,1039.75,14.825000047684,60.550001144409,1.0148194658330398,55.01276,0.96883994,2004-03-16 01:00:00
128,0.8,968.0,2.810688037123539,640.0,43.0,1319.5,61.0,1385.75,866.75,14.75,59.224999427795,0.9879081107816498,55.273697,0.931895,2004-03-16 02:00:00
129,0.7,929.25,2.325061547147355,607.5,43.0,1375.5,61.0,1364.25,825.75,13.624999761581,62.050000190735,0.9635549956184191,58.6957,0.9317472,2004-03-16 03:00:00
130,0.7,941.0,2.5891783027743425,625.5,59.0,1315.75,59.0,1373.25,839.75,12.324999809265,66.150000572205,0.9450361951968503,63.63749,0.9189901,2004-03-16 04:00:00
131,0.6,937.0,2.0087426345174735,584.75,38.0,1411.5,52.0,1348.0,792.5,12.75,63.22500038147,0.9282898040213576,60.696777,0.90077746,2004-03-16 05:00:00
132,0.9,1017.0,3.4826893251173856,681.25,82.0,1245.75,64.0,1417.5,869.5,11.174999952316,68.47500038147,0.9081071231015929,67.12914,0.9157758,2004-03-16 06:00:00
133,1.3,1171.25,5.131232180692032,770.0,99.0,1161.75,70.0,1466.75,930.0,10.975000143051,66.5,0.8705229495981881,62.62201,0.8609891,2004-03-16 07:00:00
134,3.4,1541.0,16.17445704918363,1185.0,263.0,770.0,97.0,1888.75,1406.5,11.674999952316,63.650000572205,0.8719365877065632,60.545742,0.8587053,2004-03-16 08:00:00
135,3.7,1539.25,19.663493856394243,1287.0,229.0,697.5,95.0,2054.75,1507.0,13.625,56.299999237061,0.8742650471769098,60.65757,0.9128215,2004-03-16 09:00:00
136,5.3,1734.75,25.05515030336349,1430.5,396.0,628.25,150.0,2211.0,1843.25,17.824999332428,42.875,0.8672254631723162,42.57138,0.9970127,2004-03-16 10:00:00
137,4.1,1571.0,20.003148782861153,1296.5,314.0,730.0,162.0,1972.75,1729.0,21.449999809265,33.324999332428,0.8416712958240697,34.137093,0.8829635,2004-03-16 11:00:00
138,3.3,1451.75,18.347057576589474,1249.5,217.0,775.5,154.0,1868.25,1583.25,24.375,27.35000038147,0.8230691655452694,27.958843,0.89488655,2004-03-16 12:00:00
139,4.0,1579.0,22.308582975669996,1359.25,252.0,724.0,161.0,1997.75,1670.75,25.250000476837,26.075000286102,0.8263807552458209,27.021534,0.88803244,2004-03-16 13:00:00
140,3.8,1466.25,20.444779979264574,1308.75,263.0,772.5,161.0,1897.0,1491.25,25.825000286102,23.150000095367,0.7589369630881299,23.155556,0.79597294,2004-03-16 14:00:00
141,2.8,1279.75,14.610427960363092,1136.25,180.0,892.75,128.0,1675.25,1239.75,27.0,20.200000286102,0.7093615130294146,19.34522,0.7291124,2004-03-16 15:00:00
142,2.9,1407.0,16.553254344130867,1196.5,184.0,905.25,129.0,1758.75,1313.0,28.249999523163,18.574999809265,0.7013857388336394,18.225351,0.7395697,2004-03-16 16:00:00
143,2.9,1388.75,15.78318309681854,1173.0,190.0,898.25,133.0,1739.0,1363.25,27.974999904633,19.10000038147,0.709825085363188,18.973127,0.75622606,2004-03-16 17:00:00
144,3.4,1447.25,17.83994777641898,1234.75,184.0,858.75,139.0,1778.0,1295.75,23.900000095367,25.699999809265,0.7518910408124666,23.07312,0.7199476,2004-03-16 18:00:00
145,3.9,1551.0,19.09705933715707,1271.0,181.0,800.25,137.0,1874.5,1432.25,21.349999904633,34.77499961853,0.8729931333855647,30.79969,0.8068792,2004-03-16 19:00:00
146,3.2,1473.5,15.766968720541028,1172.5,166.0,854.25,143.0,1776.0,1431.75,20.425000190735,36.675000190735,0.870389489318189,33.957478,0.83555967,2004-03-16 20:00:00
147,5.1,1799.5,24.877671870607216,1426.0,317.0,700.0,177.0,2105.5,2033.5,19.025000095367,41.349999427795,0.9007307308826996,39.57058,0.8718079,2004-03-16 21:00:00
148,2.6,1379.25,13.529604730694471,1101.25,184.0,817.5,138.0,1710.0,1601.75,17.925000190735,45.900000572205,0.9341860450216591,42.66245,0.90189457,2004-03-16 22:00:00
